question,filed,choice1,choice2,choice3,choice4,answer,title,url
16進数の小数0.248を10進数の分数で表したものはどれか。,離散数学,31／32,31／125,31／512,73／512,4,基本情報技術者平成30年秋期 午前問1,https://www.fe-siken.com/kakomon/30_aki/q1.html
"次に示す手順は，列中の少なくとも一つは1であるビット列が与えられたとき，最も右にある1を残し，他のビットを全て0にするアルゴリズムである。例えば,00101000が与えられたとき,00001000が求まる。aに入る論理演算はどれか。手順1与えられたビット列Aを符号なしの2進数と見なし，Aから1を引き，結果をBとする。手順2AとBの排他的論理和(XOR)を求め，結果をCとする。手順3AとCのaを求め，結果をAとする。",離散数学,排他的論理和(XOR),否定論理積(NAND),論理積(AND),論理和(OR),3,基本情報技術者平成30年秋期 午前問2,https://www.fe-siken.com/kakomon/30_aki/q2.html
AIにおける機械学習の説明として，最も適切なものはどれか。,情報に関する理論,記憶したデータから特定のパターンを見つけ出すなどの，人が自然に行っている学習能力をコンピュータにもたせるための技術,コンピュータ，機械などを使って，生命現象や進化のプロセスを再現するための技術,特定の分野の専門知識をコンピュータに入力し，入力された知識を用いてコンピュータが推論する技術,人が双方向学習を行うために，Webシステムなどの情報技術を用いて，教材や学習管理能力をコンピュータにもたせるための技術,1,基本情報技術者平成30年秋期 午前問3,https://www.fe-siken.com/kakomon/30_aki/q3.html
出現頻度の異なるA，B，C，D，Eの5文字で構成される通信データを，ハフマン符号化を使って圧縮するために，符号表を作成した。aに入る符号として，適切なものはどれか。,情報に関する理論,001,010,101,110,4,基本情報技術者平成30年秋期 午前問4,https://www.fe-siken.com/kakomon/30_aki/q4.html
"待ち行列に対する操作を，次のとおり定義する。ENQ n:待ち行列にデータnを挿入する。DEQ :待ち行列からデータを取り出す。
空の待ち行列に対し，ENQ1，ENQ2，ENQ3，DEQ，ENQ4，ENQ5，DEQ，ENQ6，DEQ，DEQの操作を行った。次にDEQ操作を行ったとき，取り出されるデータはどれか。",データ構造,1,2,5,6,3,基本情報技術者平成30年秋期 午前問5,https://www.fe-siken.com/kakomon/30_aki/q5.html
クイックソートの処理方法を説明したものはどれか。,アルゴリズム,既に整列済みのデータ列の正しい位置に，データを追加する操作を繰り返していく方法である。,データ中の最小値を求め，次にそれを除いた部分の中から最小値を求める。この操作を繰り返していく方法である。,適当な基準値を選び，それより小さな値のグループと大きな値のグループにデータを分割する。同様にして，グループの中で基準値を選び，それぞれのグループを分割する。この操作を繰り返していく方法である。,隣り合ったデータの比較と入替えを繰り返すことによって，小さな値のデータを次第に端のほうに移していく方法である。,3,基本情報技術者平成30年秋期 午前問6,https://www.fe-siken.com/kakomon/30_aki/q6.html
プログラムのコーディング規約に規定する事項のうち，適切なものはどれか。,プログラミング,局所変数は，用途が異なる場合でもデータ型が同じならば，できるだけ同一の変数を使うようにする。,処理性能を向上させるために，ループの制御変数には浮動小数点型変数を使用する。,同様の計算を何度も繰り返すときは，関数の再帰呼出しを用いる。,領域割付け関数を使用するときは，割付けができなかったときの処理を記述する。,4,基本情報技術者平成30年秋期 午前問7,https://www.fe-siken.com/kakomon/30_aki/q7.html
Javaの特徴に関する説明として，適切なものはどれか。,プログラム言語,オブジェクト指向言語であり，複数のスーパクラスを指定する多重継承が可能である。,整数や文字は常にクラスとして扱われる。,ポインタ型があるので，メモリ上のアドレスを直接参照できる。,メモリ管理のためのガーベジコレクションの機能がある。,4,基本情報技術者平成30年秋期 午前問8,https://www.fe-siken.com/kakomon/30_aki/q8.html
動作クロック周波数が700MHzのCPUで，命令の実行に必要なクロック数とその命令の出現率が表に示す値である場合，このCPUの性能は約何MIPSか。,プロセッサ,10,50,70,100,4,基本情報技術者平成30年秋期 午前問9,https://www.fe-siken.com/kakomon/30_aki/q9.html
割込み処理の終了後に割込みによって中断された処理を割り込まれた場所から再開するために，割込み発生時にプロセッサが保存するものはどれか。,プロセッサ,インデックスレジスタ,データレジスタ,プログラムカウンタ,命令レジスタ,3,基本情報技術者平成30年秋期 午前問10,https://www.fe-siken.com/kakomon/30_aki/q10.html
